"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"	"Sample6"	"Sample7"	"Sample8"	"Sample9"	"Sample10"
"Gene1"	950	938	1044	984	972	364	391	374	388	382
"Gene2"	486	487	513	470	500	601	607	603	564	632
"Gene3"	300	320	315	317	326	818	844	830	834	812
"Gene4"	685	662	660	684	660	734	710	730	718	738
"Gene5"	632	633	590	679	671	273	276	273	271	271
"Gene6"	135	115	128	134	131	50	55	42	38	47
"Gene7"	95	93	84	96	84	776	767	838	792	796
"Gene8"	796	752	779	729	773	685	663	609	675	667
"Gene9"	179	168	188	175	209	180	167	164	157	181
"Gene10"	134	140	123	150	138	432	422	431	431	423
"Gene11"	657	582	610	610	604	74	57	61	91	54
"Gene12"	443	430	446	459	433	877	872	854	852	867
"Gene13"	48	52	48	42	48	838	903	878	846	838
"Gene14"	45	32	38	46	33	484	433	447	419	417
"Gene15"	951	903	948	966	914	4	10	13	8	15
"Gene16"	533	514	568	564	552	393	421	418	435	399
"Gene17"	526	467	476	488	467	270	276	248	267	295
"Gene18"	822	850	788	841	852	404	352	423	386	417
"Gene19"	411	464	431	474	450	625	617	631	618	619
"Gene20"	78	77	100	78	92	727	712	705	731	695
"Gene21"	229	216	221	203	179	337	302	365	307	351
"Gene22"	916	974	920	998	1025	769	757	773	761	781
"Gene23"	692	648	704	680	645	900	851	917	857	899
"Gene24"	549	525	489	484	526	660	694	679	669	694
"Gene25"	732	698	714	713	717	507	502	508	497	506
"Gene26"	851	789	797	859	866	787	833	821	850	857
"Gene27"	871	866	835	807	897	559	584	551	558	555
"Gene28"	899	880	892	939	891	56	72	54	56	53
"Gene29"	283	318	320	271	292	832	882	860	880	841
"Gene30"	37	52	42	48	44	883	831	886	855	839
"Gene31"	916	913	982	981	928	151	151	138	179	149
"Gene32"	898	885	898	909	931	806	842	770	763	780
"Gene33"	332	332	344	374	336	333	302	325	288	340
"Gene34"	499	489	493	465	470	104	103	114	100	101
"Gene35"	749	816	717	769	736	256	228	250	244	240
"Gene36"	694	656	718	719	718	183	187	194	212	215
"Gene37"	669	635	637	647	642	85	96	102	86	82
"Gene38"	215	234	231	245	211	904	888	866	907	892
"Gene39"	350	365	369	342	335	910	946	922	915	959
"Gene40"	768	772	749	803	795	12	12	10	10	17
"Gene41"	773	782	770	780	760	94	85	69	79	77
"Gene42"	548	569	543	580	503	225	221	249	251	226
"Gene43"	238	245	236	262	237	974	1049	991	974	940
"Gene44"	591	558	556	550	594	976	956	942	897	904
"Gene45"	572	656	583	632	638	213	231	215	214	193
"Gene46"	413	440	408	421	425	494	465	510	488	481
"Gene47"	182	170	173	143	176	56	51	39	37	62
"Gene48"	170	154	198	163	193	23	23	22	20	17
"Gene49"	580	658	665	623	643	312	294	298	274	295
"Gene50"	135	153	167	180	166	529	507	493	502	526
"Gene51"	501	500	547	572	558	430	376	413	469	386
"Gene52"	297	330	327	323	299	200	236	200	195	212
"Gene53"	478	472	472	474	435	15	20	19	9	14
"Gene54"	698	632	650	630	684	228	246	229	243	263
"Gene55"	714	759	741	665	682	766	754	774	824	788
"Gene56"	886	827	921	837	880	645	643	596	611	693
"Gene57"	678	752	711	736	706	935	859	906	893	915
"Gene58"	540	586	561	556	547	775	753	755	769	789
"Gene59"	57	65	53	74	48	195	215	232	199	205
"Gene60"	77	87	78	69	81	182	166	190	183	166
"Gene61"	500	504	530	493	516	143	161	130	148	121
"Gene62"	211	244	205	239	214	166	137	172	179	167
"Gene63"	29	35	25	33	28	770	776	760	787	732
"Gene64"	569	526	514	555	563	824	781	820	797	791
"Gene65"	898	920	842	847	861	317	275	310	293	272
"Gene66"	140	144	157	138	139	695	688	650	648	632
"Gene67"	256	249	244	234	265	892	842	882	894	824
"Gene68"	349	369	370	369	374	898	859	859	883	830
"Gene69"	755	715	743	789	704	207	202	219	211	216
"Gene70"	88	94	100	80	122	219	229	244	215	224
"Gene71"	153	138	124	135	149	153	149	169	164	151
"Gene72"	50	54	57	45	58	840	831	811	805	843
"Gene73"	67	64	71	72	77	578	554	557	556	528
"Gene74"	665	695	673	698	637	174	167	174	162	182
"Gene75"	376	429	388	409	400	505	467	515	465	463
"Gene76"	713	805	803	795	763	416	429	430	394	417
"Gene77"	336	346	371	361	364	638	626	629	628	654
"Gene78"	949	897	870	938	924	825	781	732	733	741
"Gene79"	256	234	220	235	218	450	468	441	465	413
"Gene80"	477	512	475	495	492	417	436	424	403	445
"Gene81"	501	500	478	504	533	689	707	736	697	699
"Gene82"	740	748	733	754	739	965	913	902	891	945
"Gene83"	645	643	634	632	623	698	761	705	797	788
"Gene84"	881	917	883	849	892	747	792	750	796	767
"Gene85"	254	232	213	259	257	655	636	649	649	637
"Gene86"	814	702	805	789	811	817	845	853	819	774
"Gene87"	411	444	436	429	407	345	353	336	374	347
"Gene88"	375	421	465	417	470	693	661	670	664	656
"Gene89"	570	522	536	524	500	300	306	292	299	290
"Gene90"	230	254	227	247	255	893	825	829	907	867
"Gene91"	756	837	796	811	832	183	181	184	220	205
"Gene92"	745	757	790	767	767	76	68	82	75	74
"Gene93"	303	299	307	276	283	769	778	781	788	817
"Gene94"	610	625	606	584	645	926	869	872	893	915
"Gene95"	925	944	952	1006	927	168	149	180	176	154
"Gene96"	98	99	95	103	89	284	283	324	293	252
"Gene97"	1003	991	1016	969	948	74	63	65	63	59
"Gene98"	744	745	735	771	762	296	285	283	296	293
"Gene99"	939	892	892	943	927	154	144	171	136	145
"Gene100"	581	587	617	591	604	644	671	649	666	653
